Mode,Angle,Ground_MAE_m,Ground_MPE_%,Ground_STD_m,Euclid_MAE_m,Euclid_MPE_%,Euclid_STD_m
SGBM,All,0.8623076923076923,31.990711249283237,0.44731227285115255,0.5692472527472527,16.532687285673948,0.41225730763637564
SGBM,20,1.0257173913043478,28.81569812418002,0.40897229805906193,0.7854782608695653,20.126303994081788,0.4084144811411529
SGBM,35,0.9926949152542373,39.517889666112154,0.4600116660528667,0.6396610169491525,19.45147779300498,0.42983303134290496
SGBM,40,0.7692631578947369,30.211247222786795,0.3877011027743678,0.4498947368421053,13.41322078052483,0.32745883087419775
SGBM,45,0.5629743589743589,26.08216535617314,0.3553949239322576,0.323974358974359,10.917936482504068,0.29207907069107586
SGBM_3WAY,All,0.741825136612022,27.172226855766223,0.4106356664653842,0.4048907103825137,11.409181390081656,0.3706064959000837
SGBM_3WAY,20,0.9793617021276596,27.589782516509587,0.47879252225880975,0.7440000000000001,19.086378262654712,0.45957981754604077
SGBM_3WAY,35,0.8022372881355933,30.95004056265111,0.27395238316319653,0.3648474576271186,10.657292888619734,0.26914108680298865
SGBM_3WAY,40,0.6523947368421051,26.884760707561373,0.3990842584930605,0.28021052631578947,8.6203515992662,0.2557222054743945
SGBM_3WAY,45,0.4513076923076922,21.233959903731307,0.30067495597371857,0.17828205128205127,6.011968585627985,0.12226071123411228
HH,All,0.6976448087431694,25.805081851347424,0.40111158673629904,0.37123497267759564,10.507197647248166,0.34679205613560843
HH,20,0.8953191489361702,25.326675041313553,0.4747168541160811,0.6629574468085108,17.03967646780198,0.44718136372494854
HH,35,0.7662372881355933,29.80518983145083,0.2851554530054193,0.3337627118644067,9.818733230716104,0.2634048502540274
HH,40,0.6186315789473684,25.645125313184536,0.39123735942296006,0.26407894736842097,8.104242219702297,0.24019512131091406
HH,45,0.43264102564102574,20.48603307431359,0.3011303693174041,0.18076923076923074,6.017587448686766,0.12533060732958745
HH4,All,0.6998032786885247,25.866632222972164,0.3998154857262957,0.37290710382513664,10.544375802094516,0.3466375646305442
HH4,20,0.8994042553191489,25.44288549872166,0.4767366267509204,0.6678085106382979,17.16621785069974,0.4477069906660068
HH4,35,0.7641525423728813,29.726747468858086,0.27924922829265897,0.3337118644067796,9.796050640398553,0.25557838738474775
HH4,40,0.6233684210526315,25.80035533655502,0.39364453858729165,0.2677105263157894,8.205006010113218,0.2431858268334906
HH4,45,0.4363846153846153,20.60221730544285,0.29634320566964023,0.17930769230769236,5.975674785451062,0.12683270245861458
